Mximo;Mnimo;Media;Fechamximo;Fechamnimo;fecha
151;120,047;146;2005-05-02-00:00:00;2005-05-0223:00:00;2005-05-02-00:00:00
192;94,376;137;2005-05-0302:30:00;2005-05-0301:30:00;2005-05-03-00:00:00
125;99,51;114;2005-05-0410:45:00;2005-05-0419:45:00;2005-05-04-00:00:00
115;99,51;108;2005-05-05-00:00:00;2005-05-0516:30:00;2005-05-05-00:00:00
115;89,242;102;2005-05-0609:15:00;2005-05-0615:15:00;2005-05-06-00:00:00
100;78,973;93;2005-05-0708:45:00;2005-05-0722:00:00;2005-05-07-00:00:00
105;84,108;98;2005-05-0808:45:00;2005-05-0801:30:00;2005-05-08-00:00:00
115;58,437;97;2005-05-0918:30:00;2005-05-0917:00:00;2005-05-09-00:00:00
105;89,242;97;2005-05-1008:30:00;2005-05-10-00:00:00;2005-05-10-00:00:00
120;89,242;102;2005-05-1114:00:00;2005-05-1109:15:00;2005-05-11-00:00:00
120;94,376;109;2005-05-1216:15:00;2005-05-12-00:00:00;2005-05-12-00:00:00
171;114,913;152;2005-05-1305:45:00;2005-05-13-00:00:00;2005-05-13-00:00:00
212;145,718;166;2005-05-1423:30:00;2005-05-14-00:00:00;2005-05-14-00:00:00
248;145,718;190;2005-05-1505:45:00;2005-05-1503:15:00;2005-05-15-00:00:00
182;89,242;156;2005-05-1621:45:00;2005-05-1620:15:00;2005-05-16-00:00:00
156;114,913;142;2005-05-1704:00:00;2005-05-1703:15:00;2005-05-17-00:00:00
521;125,181;267;2005-05-1823:45:00;2005-05-1802:45:00;2005-05-18-00:00:00
526;289,474;426;2005-05-1900:30:00;2005-05-1923:45:00;2005-05-19-00:00:00
289;202,193;245;2005-05-20-00:00:00;2005-05-2022:30:00;2005-05-20-00:00:00
197;155,986;175;2005-05-21-00:00:00;2005-05-2123:45:00;2005-05-21-00:00:00
156;114,913;138;2005-05-22-00:00:00;2005-05-2220:00:00;2005-05-22-00:00:00
120;94,376;115;2005-05-2300:30:00;2005-05-2323:45:00;2005-05-23-00:00:00
110;94,376;103;2005-05-2400:45:00;2005-05-2415:00:00;2005-05-24-00:00:00
110;89,242;103;2005-05-2507:00:00;2005-05-2523:45:00;2005-05-25-00:00:00
105;63,571;80;2005-05-2600:30:00;2005-05-2619:45:00;2005-05-26-00:00:00
69;53,303;63;2005-05-27-00:00:00;2005-05-2718:15:00;2005-05-27-00:00:00
79;37,9;58;2005-05-2813:00:00;2005-05-2806:30:00;2005-05-28-00:00:00
64;34,84;47;2005-05-29-00:00:00;2005-05-2909:45:00;2005-05-29-00:00:00
64;32,8;46;2005-05-3011:00:00;2005-05-3015:30:00;2005-05-30-00:00:00
64;34,84;40;2005-05-3115:00:00;2005-05-3113:45:00;2005-05-31-00:00:00
58;36,88;47;2005-06-0116:45:00;2005-06-0111:15:00;2005-06-01-00:00:00
53;33,82;40;2005-06-02-00:00:00;2005-06-0213:00:00;2005-06-02-00:00:00
48;33,82;38;2005-06-0303:00:00;2005-06-0310:15:00;2005-06-03-00:00:00
43;32,8;37;2005-06-0411:30:00;2005-06-0421:00:00;2005-06-04-00:00:00
48;32,8;39;2005-06-0512:30:00;2005-06-05-00:00:00;2005-06-05-00:00:00
48;34,84;37;2005-06-06-00:00:00;2005-06-0618:30:00;2005-06-06-00:00:00
48;33,82;39;2005-06-0713:00:00;2005-06-0701:15:00;2005-06-07-00:00:00
43;32,8;36;2005-06-0809:30:00;2005-06-0820:15:00;2005-06-08-00:00:00
53;27,7;35;2005-06-0907:30:00;2005-06-0904:15:00;2005-06-09-00:00:00
53;29,74;35;2005-06-1022:00:00;2005-06-1018:15:00;2005-06-10-00:00:00
38;31,78;35;2005-06-1117:15:00;2005-06-1109:15:00;2005-06-11-00:00:00
53;31,78;39;2005-06-1204:00:00;2005-06-1202:30:00;2005-06-12-00:00:00
64;31,78;48;2005-06-1317:45:00;2005-06-1323:00:00;2005-06-13-00:00:00
115;43,034;79;2005-06-1423:15:00;2005-06-1402:00:00;2005-06-14-00:00:00
115;63,571;88;2005-06-15-00:00:00;2005-06-1522:45:00;2005-06-15-00:00:00
69;36,88;52;2005-06-1602:00:00;2005-06-1621:15:00;2005-06-16-00:00:00
53;36,88;41;2005-06-17-00:00:00;2005-06-1708:15:00;2005-06-17-00:00:00
38;33,82;36;2005-06-1807:45:00;2005-06-1810:15:00;2005-06-18-00:00:00
36;31,78;34;2005-06-1900:30:00;2005-06-1918:45:00;2005-06-19-00:00:00
43;28,72;35;2005-06-2015:15:00;2005-06-2013:45:00;2005-06-20-00:00:00
38;32,8;35;2005-06-2121:30:00;2005-06-2101:45:00;2005-06-21-00:00:00
38;33,82;36;2005-06-2207:45:00;2005-06-2211:15:00;2005-06-22-00:00:00
37;31,78;35;2005-06-2300:15:00;2005-06-2322:45:00;2005-06-23-00:00:00
64;24,74;35;2005-06-2423:15:00;2005-06-2417:45:00;2005-06-24-00:00:00
64;29,74;34;2005-06-25-00:00:00;2005-06-2511:30:00;2005-06-25-00:00:00
37;31,78;34;2005-06-2619:45:00;2005-06-2606:15:00;2005-06-26-00:00:00
37;30,76;34;2005-06-27-00:00:00;2005-06-2721:15:00;2005-06-27-00:00:00
36;30,76;33;2005-06-2806:15:00;2005-06-2813:00:00;2005-06-28-00:00:00
58;31,78;38;2005-06-2908:00:00;2005-06-29-00:00:00;2005-06-29-00:00:00
58;27,7;39;2005-06-3007:00:00;2005-06-3023:30:00;2005-06-30-00:00:00
36;27,7;33;2005-07-0113:15:00;2005-07-01-00:00:00;2005-07-01-00:00:00
37;32,8;35;2005-07-0208:30:00;2005-07-0200:30:00;2005-07-02-00:00:00
43;32,8;36;2005-07-0319:45:00;2005-07-0316:00:00;2005-07-03-00:00:00
37;24,74;31;2005-07-0403:30:00;2005-07-0422:15:00;2005-07-04-00:00:00
32;26,22;29;2005-07-0507:45:00;2005-07-05-00:00:00;2005-07-05-00:00:00
32;26,22;29;2005-07-0608:15:00;2005-07-0606:30:00;2005-07-06-00:00:00
32;27,7;30;2005-07-0712:45:00;2005-07-0700:45:00;2005-07-07-00:00:00
35;30,76;33;2005-07-0805:30:00;2005-07-08-00:00:00;2005-07-08-00:00:00
37;31,78;35;2005-07-0908:15:00;2005-07-0922:45:00;2005-07-09-00:00:00
35;31,78;33;2005-07-1007:00:00;2005-07-1009:45:00;2005-07-10-00:00:00
37;33,82;36;2005-07-1105:45:00;2005-07-11-00:00:00;2005-07-11-00:00:00
53;31,78;40;2005-07-1208:15:00;2005-07-1222:30:00;2005-07-12-00:00:00
